Designator,Footprint,Quantity,Value,LCSC Part #
BZ1,BUZ-SMD_4P-L8.5-W8.5-P8.50-BR,1,Buzzer,C94599
"C1, C2, C5",0402,3,100nF,C1525
C3,0402,1,1uF,C52923
C7,0805,1,47uF,C16780
C8,0402,1,10nF,C15195
C9,0402,1,10uF,C15525
D1,LED0805-GREEN-RD,1,GREEN,C2297
D2,SOD-123F_L2.7-W1.6-LS3.8-RD,1,SOD-123-Switching-Diode,C81598
D3,LED0805-RD_RED,1,RED,C84256
J1,PinHeader_2x04_P2.54mm_Vertical,1,Conn_02x04_Counter_Clockwise,
R1,0402,1,10M,C26082
"R10, R2, R4",0402,3,5k1,C25905
R3,0402,1,1k,C11702
"R5, R8, R9",0402,3,10k,C25744
R6,0402,1,2k,C4109
R7,0402,1,1M,C26083
U1,WIFI-SMD_ESP32-MINI-1-N4,1,ESP32-S2-MINI-1-N4,C2847294
U2,BAT-SMD_BH-AAA-B5AA001,1,BH-AAA-B5AK001,C964882
U3,SW_Push_1P1T_XKB_TS-1187A,1,Reset,C318884
U4,SW_Push_1P1T_XKB_TS-1187A,1,Boot,C318884
U5,SENSOR-SMD_L3.0-W3.0-P1.00-BR,1,Temp/Humid-Sensor,C2827328
U6,SENSORS-SMD_ALS-PT19,1,Light sensor,C146233
U7,SOT-223-3_L6.5-W3.4-P2.30-LS7.0-BR,1,AMS1117-3_3,C6186
U8,SW-SMD_MK-12C02-G025,1,MK-12C02-G025,C778186
